Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,13.300000190734863,13.300000190734863,13.300000190734863,13.300000190734863,13.300000190734863,7652
2022-01-04,13.949999809265137,13.949999809265137,13.300000190734863,13.949999809265137,13.949999809265137,165342
2022-01-05,14.600000381469727,14.600000381469727,14.399999618530273,14.600000381469727,14.600000381469727,173801
2022-01-06,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,23677
2022-01-07,16.049999237060547,16.049999237060547,16.049999237060547,16.049999237060547,16.049999237060547,8194
2022-01-10,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,7239
2022-01-11,17.649999618530273,17.649999618530273,17.649999618530273,17.649999618530273,17.649999618530273,44396
2022-01-12,18.5,18.5,18.5,18.5,18.5,13986
2022-01-13,19.399999618530273,19.399999618530273,17.600000381469727,18.600000381469727,18.600000381469727,192644
2022-01-14,17.700000762939453,17.700000762939453,17.700000762939453,17.700000762939453,17.700000762939453,17043
2022-01-17,16.850000381469727,18.549999237060547,16.850000381469727,18.549999237060547,18.549999237060547,72987
2022-01-18,18.850000381469727,19.450000762939453,17.649999618530273,18.75,18.75,59022
2022-01-19,18.950000762939453,18.950000762939453,17.850000381469727,18.100000381469727,18.100000381469727,33561
2022-01-20,17.200000762939453,18.450000762939453,17.200000762939453,17.899999618530273,17.899999618530273,26127
2022-01-21,17.100000381469727,18.299999237060547,17.049999237060547,17.049999237060547,17.049999237060547,31925
2022-01-24,16.200000762939453,17.0,16.200000762939453,16.200000762939453,16.200000762939453,10407
2022-01-25,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,7073
2022-01-27,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,14.649999618530273,2932
2022-01-28,14.0,15.350000381469727,13.949999809265137,14.949999809265137,14.949999809265137,30984
2022-01-31,15.050000190734863,15.449999809265137,14.300000190734863,14.800000190734863,14.800000190734863,35935
2022-02-01,15.5,15.5,15.5,15.5,15.5,10790
2022-02-02,16.25,16.25,16.25,16.25,16.25,3135
2022-02-03,17.049999237060547,17.049999237060547,17.049999237060547,17.049999237060547,17.049999237060547,10681
2022-02-04,17.899999618530273,17.899999618530273,17.899999618530273,17.899999618530273,17.899999618530273,7759
2022-02-07,18.75,18.75,18.75,18.75,18.75,29407
2022-02-08,19.649999618530273,19.649999618530273,19.649999618530273,19.649999618530273,19.649999618530273,6741
2022-02-09,20.600000381469727,20.600000381469727,19.649999618530273,20.600000381469727,20.600000381469727,93213
2022-02-10,20.450000762939453,21.600000381469727,19.600000381469727,21.600000381469727,21.600000381469727,105779
2022-02-11,22.649999618530273,22.649999618530273,21.0,22.399999618530273,22.399999618530273,37054
2022-02-14,22.850000381469727,23.5,21.299999237060547,21.299999237060547,21.299999237060547,41910
2022-02-15,20.25,22.0,20.25,20.450000762939453,20.450000762939453,19702
2022-02-16,19.450000762939453,21.450000762939453,19.450000762939453,21.450000762939453,21.450000762939453,79004
2022-02-17,21.899999618530273,22.5,21.899999618530273,22.5,22.5,42089
2022-02-18,23.450000762939453,23.600000381469727,22.149999618530273,23.600000381469727,23.600000381469727,24551
2022-02-21,24.75,24.75,24.75,24.75,24.75,39815
2022-02-22,25.950000762939453,25.950000762939453,25.950000762939453,25.950000762939453,25.950000762939453,22738
2022-02-23,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,8077
2022-02-24,28.549999237060547,28.549999237060547,25.850000381469727,27.299999237060547,27.299999237060547,224303
2022-02-25,28.649999618530273,28.649999618530273,28.649999618530273,28.649999618530273,28.649999618530273,5410
2022-02-28,30.049999237060547,30.049999237060547,30.049999237060547,30.049999237060547,30.049999237060547,16736
2022-03-02,31.549999237060547,31.549999237060547,31.549999237060547,31.549999237060547,31.549999237060547,7283
2022-03-03,33.0,33.099998474121094,33.0,33.099998474121094,33.099998474121094,4839
2022-03-04,34.75,34.75,34.75,34.75,34.75,6025
2022-03-07,36.45000076293945,36.45000076293945,36.45000076293945,36.45000076293945,36.45000076293945,24878
2022-03-08,38.25,38.25,34.650001525878906,38.25,38.25,130263
2022-03-09,40.150001525878906,40.150001525878906,39.04999923706055,40.150001525878906,40.150001525878906,35490
2022-03-10,42.150001525878906,42.150001525878906,42.150001525878906,42.150001525878906,42.150001525878906,30221
2022-03-11,43.400001525878906,44.25,42.150001525878906,44.25,44.25,36055
2022-03-14,46.45000076293945,46.45000076293945,44.650001525878906,46.400001525878906,46.400001525878906,123306
