Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,120.0,120.0,120.0,120.0,120.0,0
2022-01-04,120.0,120.0,120.0,120.0,120.0,0
2022-01-05,120.0,120.0,120.0,120.0,120.0,0
2022-01-06,120.0,120.0,120.0,120.0,120.0,0
2022-01-07,120.0,120.0,120.0,120.0,120.0,0
2022-01-10,120.0,120.0,120.0,120.0,120.0,0
2022-01-11,120.0,120.0,120.0,120.0,120.0,0
2022-01-12,120.0,120.0,120.0,120.0,120.0,0
2022-01-13,120.0,120.0,120.0,120.0,120.0,0
2022-01-14,120.0,120.0,120.0,120.0,120.0,0
2022-01-17,120.0,120.0,120.0,120.0,120.0,0
2022-01-18,120.0,120.0,120.0,120.0,120.0,0
2022-01-19,120.0,120.0,120.0,120.0,120.0,0
2022-01-20,120.0,120.0,120.0,120.0,120.0,0
2022-01-21,120.0,120.0,120.0,120.0,120.0,0
2022-01-24,120.0,120.0,120.0,120.0,120.0,0
2022-01-25,120.0,120.0,120.0,120.0,120.0,0
2022-01-27,120.0,120.0,120.0,120.0,120.0,0
2022-01-28,120.0,120.0,120.0,120.0,120.0,0
2022-01-31,120.0,120.0,120.0,120.0,120.0,0
2022-02-01,120.0,120.0,120.0,120.0,120.0,0
2022-02-02,120.0,120.0,120.0,120.0,120.0,0
2022-02-03,120.0,120.0,120.0,120.0,120.0,0
2022-02-04,120.0,120.0,120.0,120.0,120.0,0
2022-02-07,120.0,120.0,120.0,120.0,120.0,0
2022-02-08,120.0,120.0,120.0,120.0,120.0,0
2022-02-09,120.0,120.0,120.0,120.0,120.0,0
2022-02-10,120.0,120.0,120.0,120.0,120.0,0
2022-02-11,120.0,120.0,120.0,120.0,120.0,0
2022-02-14,120.0,120.0,120.0,120.0,120.0,0
2022-02-15,120.0,120.0,120.0,120.0,120.0,0
2022-02-16,120.0,120.0,120.0,120.0,120.0,0
2022-02-17,120.0,120.0,120.0,120.0,120.0,0
2022-02-18,120.0,120.0,120.0,120.0,120.0,0
2022-02-21,120.0,120.0,120.0,120.0,120.0,0
2022-02-22,120.0,120.0,120.0,120.0,120.0,0
2022-02-23,120.0,120.0,120.0,120.0,120.0,0
2022-02-24,120.0,120.0,120.0,120.0,120.0,0
2022-02-25,120.0,120.0,120.0,120.0,120.0,0
2022-02-28,120.0,120.0,120.0,120.0,120.0,0
2022-03-02,120.0,120.0,120.0,120.0,120.0,0
2022-03-03,120.0,120.0,120.0,120.0,120.0,0
2022-03-04,120.0,120.0,120.0,120.0,120.0,0
2022-03-07,120.0,120.0,120.0,120.0,120.0,0
2022-03-08,120.0,120.0,120.0,120.0,120.0,0
2022-03-09,120.0,120.0,120.0,120.0,120.0,0
2022-03-10,120.0,120.0,120.0,120.0,120.0,0
2022-03-11,120.0,120.0,120.0,120.0,120.0,0
2022-03-14,120.0,120.0,120.0,120.0,120.0,0
2022-03-15,120.0,120.0,120.0,120.0,120.0,0
2022-03-16,120.0,120.0,120.0,120.0,120.0,0
2022-03-17,120.0,120.0,120.0,120.0,120.0,0
2022-03-21,120.0,120.0,120.0,120.0,120.0,0
2022-03-22,120.0,120.0,120.0,120.0,120.0,0
2022-03-23,120.0,120.0,120.0,120.0,120.0,0
2022-03-24,120.0,120.0,120.0,120.0,120.0,0
2022-03-25,120.0,120.0,120.0,120.0,120.0,0
2022-03-28,120.0,120.0,120.0,120.0,120.0,0
2022-03-29,120.0,120.0,120.0,120.0,120.0,0
2022-03-30,120.0,120.0,120.0,120.0,120.0,0
2022-03-31,120.0,120.0,120.0,120.0,120.0,0
2022-04-01,120.0,120.0,120.0,120.0,120.0,0
2022-04-04,120.0,120.0,120.0,120.0,120.0,0
2022-04-05,120.0,120.0,120.0,120.0,120.0,0
2022-04-06,120.0,120.0,120.0,120.0,120.0,0
2022-04-07,120.0,120.0,120.0,120.0,120.0,0
2022-04-08,120.0,120.0,120.0,120.0,120.0,0
2022-04-11,120.0,120.0,120.0,120.0,120.0,0
2022-04-12,120.0,120.0,120.0,120.0,120.0,0
2022-04-13,120.0,120.0,120.0,120.0,120.0,0
2022-04-18,120.0,120.0,120.0,120.0,120.0,0
2022-04-19,120.0,120.0,120.0,120.0,120.0,0
2022-04-20,120.0,120.0,120.0,120.0,120.0,0
2022-04-21,120.0,120.0,120.0,120.0,120.0,0
2022-04-22,120.0,120.0,120.0,120.0,120.0,0
2022-04-25,120.0,120.0,120.0,120.0,120.0,0
2022-04-26,120.0,120.0,120.0,120.0,120.0,0
2022-04-27,120.0,120.0,120.0,120.0,120.0,0
2022-04-28,120.0,120.0,120.0,120.0,120.0,0
2022-04-29,120.0,120.0,120.0,120.0,120.0,0
2022-05-02,120.0,120.0,120.0,120.0,120.0,0
2022-05-04,120.0,120.0,120.0,120.0,120.0,0
2022-05-05,120.0,120.0,120.0,120.0,120.0,0
2022-05-06,120.0,120.0,120.0,120.0,120.0,0
2022-05-09,120.0,120.0,120.0,120.0,120.0,0
2022-05-10,120.0,120.0,120.0,120.0,120.0,0
2022-05-11,120.0,120.0,120.0,120.0,120.0,0
2022-05-12,120.0,120.0,120.0,120.0,120.0,0
2022-05-13,120.0,120.0,120.0,120.0,120.0,0
2022-05-16,120.0,120.0,120.0,120.0,120.0,0
2022-05-17,120.0,120.0,120.0,120.0,120.0,0
2022-05-18,120.0,120.0,120.0,120.0,120.0,0
2022-05-19,120.0,120.0,120.0,120.0,120.0,0
2022-05-20,120.0,120.0,120.0,120.0,120.0,0
2022-05-23,120.0,120.0,120.0,120.0,120.0,0
2022-05-24,120.0,120.0,120.0,120.0,120.0,0
2022-05-25,120.0,120.0,120.0,120.0,120.0,0
2022-05-26,120.0,120.0,120.0,120.0,120.0,0
2022-05-27,120.0,120.0,120.0,120.0,120.0,0
2022-05-30,120.0,120.0,120.0,120.0,120.0,0
2022-05-31,120.0,120.0,120.0,120.0,120.0,0
2022-06-01,120.0,120.0,120.0,120.0,120.0,0
2022-06-02,120.0,120.0,120.0,120.0,120.0,0
2022-06-03,120.0,120.0,120.0,120.0,120.0,0
2022-06-06,120.0,120.0,120.0,120.0,120.0,0
