date,cash,market_value,total_value,positions
2022-05-11,9912.345106124878,89.9500026702881,10002.295108795166,YESBANK.NS
2022-05-12,9912.345106124878,87.85000133514404,10000.195107460022,YESBANK.NS
2022-05-13,9912.345106124878,87.14999866485596,9999.495104789734,YESBANK.NS
2022-05-16,9912.345106124878,88.89999866485596,10001.245104789734,YESBANK.NS
2022-05-17,9822.343061447144,183.10204601287842,10005.445107460022,"YESBANK.NS,UCOBANK.NS"
2022-05-18,9822.343061447144,187.68831825256345,10010.031379699707,"YESBANK.NS,UCOBANK.NS"
2022-05-19,9822.343061447144,183.3794984817505,10005.722559928894,"YESBANK.NS,UCOBANK.NS"
2022-05-20,9822.343061447144,186.49321460723877,10008.836276054382,"YESBANK.NS,UCOBANK.NS"
2022-05-23,9822.343061447144,185.0932159423828,10007.436277389526,"YESBANK.NS,UCOBANK.NS"
2022-05-24,9822.343061447144,182.6069459915161,10004.95000743866,"YESBANK.NS,UCOBANK.NS"
2022-05-25,9822.343061447144,178.26184368133545,10000.604905128479,"YESBANK.NS,UCOBANK.NS"
2022-05-26,9822.343061447144,179.6618423461914,10002.004903793335,"YESBANK.NS,UCOBANK.NS"
2022-05-27,9822.343061447144,181.87066078186035,10004.213722229004,"YESBANK.NS,UCOBANK.NS"
2022-05-30,9822.343061447144,184.92458820343018,10007.267649650574,"YESBANK.NS,UCOBANK.NS"
2022-05-31,9822.343061447144,181.66577339172363,10004.008834838867,"YESBANK.NS,UCOBANK.NS"
2022-06-01,9822.343061447144,181.97949981689453,10004.322561264038,"YESBANK.NS,UCOBANK.NS"
2022-06-02,9822.343061447144,183.0657787322998,10005.408840179443,"YESBANK.NS,UCOBANK.NS"
2022-06-03,9822.343061447144,181.97949981689453,10004.322561264038,"YESBANK.NS,UCOBANK.NS"
2022-06-06,9822.343061447144,181.27949714660645,10003.62255859375,"YESBANK.NS,UCOBANK.NS"
2022-06-07,9822.343061447144,180.19321727752686,10002.53627872467,"YESBANK.NS,UCOBANK.NS"
2022-06-08,9822.343061447144,180.08439350128174,10002.427454948425,"YESBANK.NS,UCOBANK.NS"
2022-06-09,9822.343061447144,180.08439350128174,10002.427454948425,"YESBANK.NS,UCOBANK.NS"
2022-06-10,9822.343061447144,177.56184101104736,9999.904902458191,"YESBANK.NS,UCOBANK.NS"
2022-06-13,9822.343061447144,175.35302257537842,9997.696084022522,"YESBANK.NS,UCOBANK.NS"
2022-06-14,9822.343061447144,174.26674365997314,9996.609805107117,"YESBANK.NS,UCOBANK.NS"
2022-06-15,9822.343061447144,173.8441925048828,9996.187253952026,"YESBANK.NS,UCOBANK.NS"
